Bracket,Teams
1,1 Villanova
1,16 New Orleans
1,8 Wisconsin
1,9 Virginia Tech
1,5 Virginia
1,12 UNC Wilmington
1,4 Florida
1,13 East Tenn. St.
1,6 SMU
1,11 Providence
1,3 Baylor
1,14 New Mexico St.
1,7 South Carolina
1,10 Marquette
1,2 Duke
1,15 Troy
2,1 Gonzaga
2,16 S. Dakota St.
2,8 Northwestern
2,9 Vanderbilt
2,5 Notre Dame
2,12 Princeton
2,4 West Virginia
2,13 Bucknell
2,6 Maryland
2,11 Xavier
2,3 Florida St.
2,14 Florida Gulf Coast
2,7 Saint Mary's
2,10 VCU
2,2 Arizona
2,15 North Dakota
3,1 Kansas
3,16 North Carolina Central
3,8 Miami
3,9 Michigan St.
3,5 Iowa St.
3,12 Nevada
3,4 Purdue
3,13 Vermont
3,6 Creighton
3,11 Rhode Island
3,3 Oregon
3,14 Iona
3,7 Michigan
3,10 Oklahoma St.
3,2 Louisville
3,15 Jacksonville St.
4,1 North Carolina
4,16 Texas Southern
4,8 Arkansas
4,9 Seton Hall
4,5 Minnesota
4,12 Middle Tennessee St.
4,4 Butler
4,13 Winthrop
4,6 Cincinnati
4,11 Wake Forest
4,3 UCLA
4,14 Kent St.
4,7 Dayton
4,10 Wichita St.
4,2 Kentucky
4,15 Northern Kentucky
